"","Movie_name","Years","Genre","Ratings","Director","Users_involved","Runtime"
"61","Palm Springs",2020,"Comedy",7.4,"Max Barbakow",50979,"
                        1h 30min
                    "
"62","Extraction",2020,"Action",6.7,"Sam Hargrave",145527,"
                        1h 56min
                    "
"63","A Call to Spy",2019,"Biography",5.6,"Lydia Dean Pilcher",357,"
                        2h 3min
                    "
"64","Nomadland",2020,"Drama",8.1,"Chloé Zhao",622,"
                        1h 48min
                    "
"65","Call Me by Your Name",2017,"Drama",7.9,"Luca Guadagnino",202090,"
                        2h 12min
                    "
"66","The Secret Garden",2020,"Drama",5.6,"Marc Munden",2818,"
                        1h 39min
                    "
"67","Mission: Impossible - Fallout",2018,"Action",7.7,"Christopher McQuarrie",283399,"
                        2h 27min
                    "
"68","Fifty Shades of Grey",2015,"Drama",4.1,"Sam Taylor-Johnson",294223,"
                        2h 5min
                    "
"69","Ready Player One",2018,"Action",7.5,"Steven Spielberg",356483,"
                        2h 20min
                    "
"71","Alita: Battle Angel",2019,"Action",7.3,"Robert Rodriguez",219927,"
                        2h 2min
                    "
"72","Jurassic World",2015,"Action",7,"Colin Trevorrow",571587,"
                        2h 4min
                    "
"73","The Lodge",2019,"Drama",6,"Severin Fiala",26749,"
                        1h 48min
                    "
"74","Justice League",2017,"Action",6.3,"Zack Snyder",374013,"
                        2h
                    "
"75","Captain Marvel",2019,"Action",6.9,"Anna Boden",426420,"
                        2h 3min
                    "
"76","The Avengers: Age of Ultron",2015,"Action",7.3,"Joss Whedon",726528,"
                        2h 21min
                    "
"78","The VVitch: A New-England Folktale",2015,"Drama",6.9,"Robert Eggers",191221,"
                        1h 32min
                    "
"79","The Martian",2015,"Adventure",8,"Ridley Scott",744799,"
                        2h 24min
                    "
"80","Frozen 2",2019,"Animation",6.9,"Chris Buck",126209,"
                        1h 43min
                    "
"81","Hustlers",2019,"Comedy",6.3,"Lorene Scafaria",78649,"
                        1h 50min
                    "
"82","Aladdin",2019,"Adventure",7,"Guy Ritchie",218376,"
                        2h 8min
                    "
"83","Hidden Figures",2016,"Biography",7.8,"Theodore Melfi",194880,"
                        2h 7min
                    "
"84","Dunkirk",2017,"Action",7.9,"Christopher Nolan",537352,"
                        1h 46min
                    "
"85","Green Book",2018,"Biography",8.2,"Peter Farrelly",348112,"
                        2h 10min
                    "
"86","Bad Hair",2020,"Horror",4.8,"Justin Simien",118,"
                        1h 55min
                    "
"87","Venom",2018,"Action",6.7,"Ruben Fleischer",349213,"
                        1h 52min
                    "
"88","Me Before You",2016,"Drama",7.4,"Thea Sharrock",202067,"
                        1h 46min
                    "
"89","Portrait of a Lady on Fire",2019,"Drama",8.1,"Céline Sciamma",52975,"
                        2h 2min
                    "
"90","Aquaman",2018,"Action",6.9,"James Wan",352673,"
                        2h 23min
                    "
"91","Bohemian Rhapsody",2018,"Biography",8,"Bryan Singer",436962,"
                        2h 14min
                    "
"92","Richard Jewell",2019,"Biography",7.5,"Clint Eastwood",51340,"
                        2h 11min
                    "
"93","El hoyo",2019,"Sci-Fi",7,"Galder Gaztelu-Urrutia",149644,"
                        1h 34min
                    "
"94","Instant Family",2018,"Comedy",7.3,"Sean Anders",78677,"
                        1h 58min
                    "
"95","Pirates of the Caribbean: Dead Men Tell No Tales",2017,"Action",6.6,"Joachim Rønning",256386,"
                        2h 9min
                    "
"96","Guardians Of The Galaxy 2",2017,"Action",7.6,"James Gunn",554425,"
                        2h 16min
                    "
"97","Crazy Rich Asians",2018,"Comedy",6.9,"Jon M. Chu",134798,"
                        2h
                    "
"98","Mamma Mia: Here We Go Again!",2018,"Comedy",6.6,"Ol Parker",76806,"
                        1h 54min
                    "
"99","Spider-Man: Homecoming",2017,"Action",7.4,"Jon Watts",497670,"
                        2h 13min
                    "
"100","Kingsman: The Golden Circle",2017,"Action",6.7,"Matthew Vaughn",265717,"
                        2h 21min
                    "
"101","Emma",2020,"Comedy",6.7,"Autumn de Wilde",20983,"
                        2h 4min
                    "
"102","A Star is Born - Encore Version",2018,"Drama",7.7,"Bradley Cooper",322254,"
                        2h 16min
                    "
"103","Three Billboards Outside Ebbing, Missouri",2017,"Comedy",8.2,"Martin McDonagh",415892,"
                        1h 55min
                    "
"104","Lady Bird",2017,"Comedy",7.4,"Greta Gerwig",232087,"
                        1h 34min
                    "
"105","6 Underground",2019,"Action",6.1,"Michael Bay",131559,"
                        2h 8min
                    "
"107","Spies in Disguise",2019,"Animation",6.8,"Nick Bruno",30400,"
                        1h 42min
                    "
"109","A Quiet Place",2018,"Drama",7.5,"John Krasinski",394979,"
                        1h 30min
                    "
"110","The Girl in the Spider's Web",2018,"Action",6.1,"Fede Alvarez",39165,"
                        1h 55min
                    "
"111","Save Yourselves!",2020,"Comedy",5.4,"Alex Huston Fischer",865,"
                        1h 33min
                    "
"112","Unpregnant",2020,"Comedy",6.1,"Rachel Lee Goldenberg",2661,"
                        1h 43min
                    "
"113","Busanhaeng",2016,"Action",7.6,"Sang-ho Yeon",155496,"
                        1h 58min
                    "
